start	end	text
0	3600	每天早上到你拿起手机对着屏幕看一眼
3600	5200	手机就自动结束了
5200	7400	这是人工智能的人脸十别技术
7400	9000	晚上你想看一部电影
9000	11800	视频平台会推荐你可能喜欢的片子
11800	13600	这是AI在学习你的喜好
13600	16600	人工智能正在敲敲改变我们每个人的生活
16600	17800	在医疗领域
17800	20600	AI可以复住一生分析CTE影响
20600	22000	帮助发现早期牌证
22000	24400	准确率甚至超过人类专家
24400	25400	在教育方面
25400	26400	只能扶到系统
26400	28600	可以根据每个学生的学习进度
28600	30200	推送各性化的练习体
30200	32000	让阴才施教成为可能
32000	33200	出门办事时
33200	35800	导航软件会实施规划最悠陆险
35800	37000	避开用堵路段
37000	39000	与阴助手能听懂你说的话
39000	40200	帮你设置闹中
40200	41200	查询天气
41200	42400	即便是点外卖
42400	43200	网购
43200	44800	背后都有AI算法
44800	47200	在优化配送时间和推荐商品
47200	50200	有人说人工智能会让很多人失业
50200	51000	但事实上
51000	53000	AI更像是一个得力助手
53000	55400	把我们从重复护造的工作中解放出来
55400	58200	让我们没有更多时间去做创造性的工作
58200	61000	未来人工智能还会带来更多惊喜
61000	62600	他不是遥远的技术概念
62600	65400	而是已经融入我们日常生活的好伙伴
65400	67000	学会与AI相处
67000	68400	善用AI工具
68400	70600	将成为我们每个人的新技能
